addr,smoking,drinking,w_control,nutirition,stressed,depressed
경북 구미시,24.4(1.1),58.4(1.5),65.1(1.4),79.7(4.1),27.7(1.3),6.7(0.8)
경북 구미시,25.6(1.3),57.0(1.8),66.4(1.7),71.9(5.9),28.5(1.6),7.5(0.9)
경북 구미시,19.3(1.4),63.9(1.9),62.1(2.1),73.6(4.5),25.1(1.7),3.6(0.7)
경북 군위군,14.2(2.4),29.9(3.2),68.7(2.9),89.5(3.2),18.8(3.3),6.5(1.7)
경북 김천시,18.2(1.5),51.8(2.2),59.8(2.0),85.9(2.5),24.7(2.0),5.8(1.0)
경북 문경시,22.3(2.2),51.7(2.7),54.9(2.4),69.0(3.2),28.9(2.6),7.5(1.3)
경북 봉화군,23.9(2.2),51.1(3.4),52.4(3.2),83.9(4.3),33.5(3.3),9.6(1.8)
경북 상주시,19.4(1.9),49.4(2.3),46.8(2.6),83.7(3.1),18.7(2.4),2.3(0.8)*
경북 성주군,19.0(2.0),46.1(2.6),61.5(2.7),75.3(3.6),15.8(2.2),3.1(0.8)
경북 안동시,21.0(1.5),57.4(1.9),71.1(1.9),85.3(3.4),25.4(2.0),5.9(1.0)
경북 영덕군,19.2(2.2),47.3(2.9),63.7(2.6),69.5(3.2),17.5(2.1),4.0(1.1)*
경북 영양군,20.9(1.9),54.9(2.5),44.8(2.5),74.4(5.7),24.2(2.2),3.0(1.0)
경북 영주시,23.5(1.8),51.7(2.6),52.2(2.2),84.0(2.4),24.4(2.1),5.1(1.0)
경북 영천시,24.3(1.9),52.0(2.4),61.8(2.3),77.4(4.1),28.7(2.3),6.7(1.2)
경북 예천군,16.9(1.6),53.0(2.7),62.2(2.5),81.0(6.6),26.9(2.6),5.9(1.5)
경북 울릉군,25.6(1.6),55.3(1.9),56.0(3.0),73.4(4.0),21.3(2.5),0.4(0.4)**
경북 울진군,19.3(1.8),46.6(2.5),59.5(2.5),77.7(2.5),16.8(2.4),3.4(1.0)
경북 의성군,21.2(4.0),42.5(4.7),54.0(4.6),88.0(2.5),15.4(2.9),11.7(3.7)
경북 청도군,20.1(2.0),47.9(2.7),54.0(2.9),70.1(3.6),30.0(2.8),6.5(1.3)
경북 청송군,23.5(2.2),46.3(3.1),60.1(2.8),80.7(2.5),22.4(2.7),2.4(0.8)
경북 칠곡군,20.7(1.5),52.8(2.0),63.9(1.8),80.1(3.9),24.7(1.7),6.0(0.9)
경북 포항시,19.6(1.1),59.7(1.3),68.2(1.2),87.8(3.1),24.8(1.2),4.6(0.6)
경북 포항시,21.8(1.7),60.6(1.8),69.7(1.7),84.1(2.6),23.8(1.7),5.5(0.9)
경북 포항시,17.8(1.4),58.9(1.8),67.0(1.7),71.2(5.1),25.7(1.7),3.7(0.8)
경남 거제시,18.7(1.2),50.3(1.8),68.8(1.6),82.7(1.5),21.4(1.5),5.6(0.7)
경남 거창군,20.7(1.6),57.6(2.3),61.3(1.9),76.3(3.0),24.3(2.4),3.5(0.9)
경남 고성군,18.4(1.7),54.7(2.2),56.2(2.7),85.7(2.1),16.1(2.1),4.0(0.8)
경남 김해시,20.2(1.3),56.7(1.6),65.8(1.7),85.4(2.2),29.5(1.8),10.2(1.1)
