"행정구역(시군구)별",2021. 08,2021. 08,2021. 08,2019,2019,2019,2020,2020,2020
"행정구역(시군구)별",총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"마산합포구",180795,89940,90855,177784,88457,89327,175716,87418,88298
"마산회원구",187941,94123,93818,193807,97453,96354,191289,95938,95351
"진해구",193996,99554,94442,193622,98943,94679,192755,98736,94019
"진주시",347407,171691,175716,347334,171834,175500,348096,172107,175989
"통영시",126141,63327,62814,131404,66053,65351,128293,64502,63791
"사천시",110243,55613,54630,111925,56451,55474,111105,56010,55095
"사천남양출장소",0,0,0,-,-,-,0,0,0
"김해시",539226,272767,266459,542455,274336,268119,542338,274313,268025
"장유출장소",0,0,0,-,-,-,0,0,0
"밀양시",103891,51010,52881,105552,51618,53934,104831,51356,53475
"거제시",242555,127156,115399,248276,130141,118135,245754,128978,116776
"양산시",353798,177367,176431,350759,176114,174645,352229,176641,175588
"양산시웅상출장소",0,0,0,-,-,-,0,0,0
"의령군",26475,13039,13436,27168,13242,13926,26800,13140,13660
"함안군",63039,32084,30955,65700,33203,32497,64182,32561,31621
"창녕군",60389,30044,30345,62331,31015,31316,61301,30452,30849
"고성군",50803,25509,25294,52276,26208,26068,51361,25760,25601
"남해군",42538,20581,21957,43622,20988,22634,42958,20707,22251
"하동군",43896,21927,21969,46574,23149,23425,44785,22364,22421
"산청군",34530,16967,17563,35417,17321,18096,34857,17110,17747
"함양군",38665,18706,19959,39637,19097,20540,39080,18853,20227
"거창군",61399,30116,31283,62179,30345,31834,61502,30082,31420
"합천군",43228,20914,22314,45204,21655,23549,44006,21209,22797
"제주특별자치도",675883,338962,336921,670989,337345,333644,674635,338609,336026
"제주시",492868,246576,246292,489405,245533,243872,492466,246588,245878
"서귀포시",183015,92386,90629,181584,91812,89772,182169,92021,90148
